GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001282302;8699546015597;3;0
8680001295692;8699546015610;3;0
8680001447749;8699546099429;10;0
8680001626151;8699546080274;1;0
8680001282043;8699546099429;5;0
8680001295616;8699546705795;5;0
8680001366798;8699546370580;15;1
8680001445837;8699546015597;20;1
8680001210442;8699546575893;10;1
8680001390434;8699546355174;2;0
8680001177363;8699546010011;60;3
8680001263820;8699546095131;2;0
8680001488025;8699546755714;2;0
8680001446919;8699546755714;2;0
8680001526567;8699546755714;2;0
8680001443703;8699546099429;10;0
8680001162260;8699546340071;1;0
8680001318063;8699546095131;2;0
8680001259809;8699546015610;2;0
8680001285013;8699546015634;10;1
8680001208364;8699546095100;2;0
8680001202249;8699546755141;10;0
8680001202249;8699546095131;2;0
8680001175260;8699546085767;20;1
8680001102808;8699546015597;3;0
8680001262182;8699546090396;1;0
8680001262182;8699546370382;1;0
8680001185580;8699546015610;20;1
8680001631827;8699546385492;10;0
8680001636532;8699546370399;5;0
8680001113057;8699546095100;5;0
8680001202829;8699546100354;2;0
8680001158690;8699546010011;10;0
8680001487295;8699546080274;20;1
8680001432196;8699546705801;3;0
8680001432196;8699546340057;2;0
8680001180363;8699546094134;1;0
8680001280131;8699546705795;5;0
8680001249848;8699546015610;5;0
8680001236244;8699546015597;20;1
8680001236244;8699546095131;2;0
8680001120857;8699546099429;5;0
8680001153909;8699546095131;2;0
8680001175390;8699546350209;2;0
8680001203628;8699546099429;20;0
8680001630905;8699546015634;10;1
8680001551156;8699546755141;10;0
8680001557431;8699546241248;2;0
8680001557431;8699546241231;2;0
8680001309436;8699546015597;20;1
8680001285976;8699546091959;1;0
8680001696659;8699546755141;3;0
8680001346172;8699546099429;10;0
8680001346172;8699546095100;30;0
8680001190263;8699546370382;2;0
8680001162260;8699546370412;2;0
8680001263561;8699546085767;20;1
8680001534074;8699546010011;60;3
8680001488759;8699546020478;10;1
8680001238033;8699546010011;10;0
8680001346172;8699546020478;50;5
8680001134632;8699546099429;3;0
8680001134632;8699546705757;2;0
8680001389162;8699546350209;1;0
8680001251155;8699546015597;20;1
8680001102488;8699546385492;10;0
8680001272099;8699546010011;5;0
8680001258284;8699546085767;20;1
8680001280131;8699546095131;2;0
8680001290161;8699546705795;10;0
8680001215140;8699546370580;2;0
8680001401338;8699546080274;10;0
8680001696680;8699546755141;10;0
8680001262182;8699546385492;5;0
8680001517374;8699546095131;2;0
8680001421336;8699546358632;2;0
8680001428939;8699546370399;2;0
8680001300624;8699546705795;10;0
8680001207541;8699546095131;2;0
8680001208012;8699546095131;2;0
8680001297382;8699546091959;5;0
8680001450510;8699546095131;2;0
8680001271870;8699546085767;20;1
8680001493661;8699546095131;2;0
8680001105496;8699546095131;2;0
8680001421411;8699546085767;20;1
8680001323180;8699546015634;2;0
8680001263684;8699546070879;3;0
8680001479009;8699546091959;3;0
8680001556380;8699546015634;2;0
8680001231973;8699546351411;1;0
8680001337309;8699546351411;2;0
8680001474615;8699546095131;2;0
8680001454570;8699546098248;2;0
8680001126569;8699546070879;3;0
8680001387496;8699546385492;10;0
8680001222896;8699546095100;10;0
8680001223145;8699546015634;5;0
8680001389162;8699546705795;20;1
